replicate,gen,pop-id,pop-size,hetero,mean-phenotype,optimal-phenotype
1,1,p1,500,0,0,30
1,2,p1,262,8.38092e-07,-0.00394446,30
1,3,p1,106,6.57262e-07,-0.0120236,30
1,4,p1,134,8.17832e-07,-0.018382,30
1,5,p1,111,1.66748e-06,-0.0783014,30
1,6,p1,154,1.29153e-06,0.00337952,30
1,7,p1,154,9.04874e-07,0.0489328,30
1,8,p1,119,1.49213e-06,0.125933,30
1,9,p1,104,2.34606e-06,-0.0231833,30
1,10,p1,144,1.70549e-06,-0.0165611,30
1,11,p1,169,2.50709e-06,0.00234163,30
1,12,p1,157,2.44493e-06,-0.0520067,30
1,13,p1,131,1.73329e-06,0.0089204,30
1,14,p1,169,3.05469e-06,0.0790397,30
1,15,p1,154,3.02496e-06,0.00344712,30
1,16,p1,156,3.84225e-06,0.128546,30
1,17,p1,112,4.22313e-06,0.0540518,30
1,18,p1,123,4.41867e-06,0.151108,30
1,19,p1,87,2.46664e-06,0.115922,30
1,20,p1,117,2.84462e-06,0.00788767,30
1,21,p1,156,4.25974e-06,0.114802,30
1,22,p1,97,6.31576e-06,0.2122,30
1,23,p1,116,5.44144e-06,0.14056,30
1,24,p1,124,5.06504e-06,0.05037,30
1,25,p1,168,6.49784e-06,0.0767365,30
1,26,p1,170,6.17318e-06,-0.300581,30
1,27,p1,115,5.43478e-06,0.0504954,30
1,28,p1,126,5.55965e-06,-0.220039,30
1,29,p1,142,4.87155e-06,-0.0265734,30
1,30,p1,93,6.91872e-06,-0.0944179,30
1,31,p1,135,7.37064e-06,-0.244884,30
1,32,p1,90,9.51728e-06,-0.498173,30
1,33,p1,144,1.08649e-05,-0.557979,30
1,34,p1,179,1.43482e-05,-0.909449,30
1,35,p1,118,1.21538e-05,-0.510407,30
1,36,p1,121,1.14354e-05,-0.542166,30
1,37,p1,135,1.51287e-05,-0.755142,30
1,38,p1,160,1.48639e-05,-0.918418,30
1,39,p1,164,1.57293e-05,-0.662367,30
1,40,p1,151,1.49408e-05,-0.585206,30
1,41,p1,129,1.43441e-05,-0.237916,30
1,42,p1,114,1.35503e-05,-0.385954,30
1,43,p1,158,1.37702e-05,-0.301266,30
1,44,p1,147,1.56062e-05,-0.395429,30
1,45,p1,135,1.49981e-05,-0.186166,30
1,46,p1,140,1.49806e-05,-0.331811,30
1,47,p1,140,1.55584e-05,-0.747414,30
1,48,p1,117,1.46231e-05,-0.702708,30
1,49,p1,124,1.39032e-05,-0.418633,30
1,50,p1,122,1.46785e-05,-0.81678,30
1,51,p1,154,1.51113e-05,-0.848269,30
1,52,p1,125,1.90202e-05,-1.0547,30
1,53,p1,140,1.71648e-05,-0.455098,30
1,54,p1,142,1.71558e-05,-0.767465,30
1,55,p1,123,1.65206e-05,-0.634387,30
1,56,p1,136,1.78228e-05,-0.496648,30
1,57,p1,125,1.77171e-05,-0.517247,30
1,58,p1,156,1.84342e-05,-0.545689,30
1,59,p1,142,2.19922e-05,-1.12231,30
1,60,p1,112,2.01164e-05,-1.2715,30
1,61,p1,137,1.97837e-05,-1.37714,30
1,62,p1,136,2.27555e-05,-1.16864,30
1,63,p1,144,2.3493e-05,-1.20262,30
1,64,p1,110,2.61008e-05,-0.970336,30
1,65,p1,119,2.22626e-05,-1.40669,30
1,66,p1,144,2.32747e-05,-1.66532,30
1,67,p1,129,2.66847e-05,-1.9587,30
1,68,p1,101,2.65459e-05,-2.55393,30
1,69,p1,135,2.87298e-05,-2.03388,30
1,70,p1,112,2.66099e-05,-2.51724,30
1,71,p1,149,2.56369e-05,-2.70114,30
1,72,p1,100,2.9207e-05,-2.41636,30
1,73,p1,124,3.18441e-05,-2.1415,30
1,74,p1,137,3.03538e-05,-2.24058,30
1,75,p1,172,2.76675e-05,-2.51173,30
1,76,p1,146,3.14574e-05,-2.00081,30
1,77,p1,152,3.02218e-05,-2.02287,30
1,78,p1,105,2.79714e-05,-2.75671,30
1,79,p1,160,2.78857e-05,-2.88978,30
1,80,p1,182,3.22678e-05,-2.21403,30
1,81,p1,118,3.25338e-05,-2.7095,30
1,82,p1,140,2.71625e-05,-3.04103,30
1,83,p1,139,2.66249e-05,-3.60812,30
1,84,p1,95,2.61911e-05,-3.4321,30
1,85,p1,127,2.65708e-05,-3.56126,30
1,86,p1,153,2.95615e-05,-3.3342,30
1,87,p1,121,2.75575e-05,-3.74359,30
1,88,p1,129,2.89216e-05,-3.75094,30
1,89,p1,143,2.88657e-05,-3.75391,30
1,90,p1,167,2.69834e-05,-3.8549,30
1,91,p1,149,2.7094e-05,-3.71963,30
1,92,p1,136,2.96956e-05,-3.32115,30
1,93,p1,106,2.78084e-05,-3.33605,30
1,94,p1,120,2.57486e-05,-3.14416,30
1,95,p1,139,2.51933e-05,-3.99386,30
1,96,p1,164,2.66454e-05,-3.93322,30
1,97,p1,102,2.52951e-05,-4.01515,30
1,98,p1,148,2.46676e-05,-3.86725,30
1,99,p1,115,2.38983e-05,-4.60245,30
1,100,p1,138,2.39981e-05,-4.27171,30
1,101,p1,99,2.41123e-05,-4.58514,30
1,102,p1,170,2.54031e-05,-4.60914,30
1,103,p1,155,2.66266e-05,-4.31128,30
1,104,p1,100,3.19655e-05,-4.73814,30
1,105,p1,116,2.97919e-05,-4.82417,30
1,106,p1,133,3.32548e-05,-4.58097,30
1,107,p1,133,3.46269e-05,-4.87652,30
1,108,p1,135,3.82911e-05,-5.21484,30
1,109,p1,171,3.52503e-05,-5.26296,30
1,110,p1,103,4.10336e-05,-4.97739,30
1,111,p1,125,4.11488e-05,-4.96522,30
1,112,p1,187,3.9985e-05,-4.89032,30
1,113,p1,155,3.98687e-05,-5.30841,30
1,114,p1,137,4.06852e-05,-5.1303,30
1,115,p1,185,3.88295e-05,-4.85405,30
1,116,p1,115,4.39285e-05,-4.70633,30
1,117,p1,108,4.19204e-05,-4.95071,30
1,118,p1,149,4.05511e-05,-4.82903,30
1,119,p1,144,3.64788e-05,-4.69032,30
1,120,p1,115,3.52083e-05,-4.61217,30
1,121,p1,120,3.76882e-05,-4.54613,30
1,122,p1,151,3.40744e-05,-4.61064,30
1,123,p1,137,3.00261e-05,-4.40959,30
1,124,p1,122,3.47232e-05,-4.65087,30
1,125,p1,145,3.25767e-05,-4.49284,30
1,126,p1,202,3.11468e-05,-4.42965,30
1,127,p1,171,3.34183e-05,-4.26009,30
1,128,p1,131,3.42043e-05,-4.34401,30
1,129,p1,117,3.29911e-05,-4.27478,30
1,130,p1,142,3.36555e-05,-4.45748,30
1,131,p1,165,3.47038e-05,-3.87513,30
1,132,p1,123,3.49157e-05,-3.63633,30
1,133,p1,141,3.48013e-05,-3.30117,30
1,134,p1,160,3.62164e-05,-4.06264,30
1,135,p1,130,3.46982e-05,-4.3099,30
1,136,p1,140,3.67625e-05,-4.25367,30
1,137,p1,149,3.6749e-05,-4.12775,30
1,138,p1,130,3.91385e-05,-4.94491,30
1,139,p1,158,3.69226e-05,-4.12537,30
1,140,p1,110,3.95971e-05,-4.53025,30
1,141,p1,176,4.1179e-05,-5.0018,30
1,142,p1,100,3.92275e-05,-5.00695,30
1,143,p1,118,4.16335e-05,-5.0783,30
1,144,p1,138,4.33798e-05,-5.20873,30
1,145,p1,131,4.48115e-05,-5.60054,30
1,146,p1,145,4.75579e-05,-4.93625,30
1,147,p1,176,4.61197e-05,-4.67374,30
1,148,p1,153,4.84275e-05,-5.13808,30
1,149,p1,135,4.53588e-05,-5.39069,30
1,150,p1,108,4.78335e-05,-5.3211,30
1,151,p1,147,4.69735e-05,-5.08326,30
1,152,p1,126,4.49877e-05,-5.22148,30
1,153,p1,125,4.9e-05,-5.52534,30
1,154,p1,100,4.899e-05,-5.6133,30
1,155,p1,209,4.73017e-05,-5.50435,30
1,156,p1,139,4.6908e-05,-4.97772,30
1,157,p1,117,4.15341e-05,-4.84309,30
1,158,p1,108,4.24091e-05,-5.60565,30
1,159,p1,182,4.34697e-05,-4.70111,30
1,160,p1,127,3.9699e-05,-5.37256,30
1,161,p1,110,4.03843e-05,-5.69521,30
1,162,p1,162,4.44142e-05,-5.1568,30
1,163,p1,141,4.18065e-05,-4.91142,30
1,164,p1,97,3.7767e-05,-4.65004,30
1,165,p1,106,3.67288e-05,-4.47269,30
1,166,p1,180,3.37617e-05,-4.20065,30
1,167,p1,118,3.56026e-05,-4.4734,30
1,168,p1,108,3.08325e-05,-3.96064,30
1,169,p1,111,3.05633e-05,-3.42891,30
1,170,p1,146,2.89583e-05,-3.77484,30
1,171,p1,119,3.05409e-05,-4.16997,30
1,172,p1,154,2.80404e-05,-3.9001,30
1,173,p1,165,3.05517e-05,-3.63095,30
1,174,p1,95,2.78986e-05,-4.0689,30
1,175,p1,152,2.47589e-05,-4.41128,30
1,176,p1,153,2.73662e-05,-4.02333,30
1,177,p1,124,2.70233e-05,-4.48504,30
1,178,p1,133,2.75601e-05,-4.30254,30
1,179,p1,171,3.25006e-05,-4.15609,30
1,180,p1,163,2.82451e-05,-4.59265,30
1,181,p1,100,2.82975e-05,-4.4497,30
1,182,p1,162,2.9104e-05,-4.63812,30
1,183,p1,149,2.90557e-05,-4.77617,30
1,184,p1,192,2.96601e-05,-4.41181,30
1,185,p1,89,2.81928e-05,-4.92995,30
1,186,p1,147,3.09975e-05,-4.93589,30
1,187,p1,141,2.89754e-05,-4.95363,30
1,188,p1,174,2.95444e-05,-4.75073,30
1,189,p1,114,3.26631e-05,-4.88991,30
1,190,p1,120,3.47056e-05,-4.69894,30
1,191,p1,114,3.56487e-05,-4.57071,30
1,192,p1,121,3.45284e-05,-4.35171,30
1,193,p1,133,3.70049e-05,-4.14531,30
1,194,p1,126,3.86517e-05,-4.69785,30
1,195,p1,169,3.56959e-05,-4.7395,30
1,196,p1,128,3.28732e-05,-4.68517,30
1,197,p1,143,4.10556e-05,-4.2561,30
1,198,p1,155,3.75498e-05,-4.67961,30
1,199,p1,106,3.2751e-05,-4.22128,30
1,200,p1,161,3.33849e-05,-4.7361,30
1,201,p1,149,3.44442e-05,-5.00729,30
1,202,p1,146,3.53537e-05,-5.51576,30
1,203,p1,119,3.556e-05,-5.09589,30
1,204,p1,146,3.61555e-05,-5.36268,30
1,205,p1,137,3.41585e-05,-5.30442,30
1,206,p1,198,3.29137e-05,-5.78364,30
1,207,p1,118,3.02076e-05,-6.03332,30
1,208,p1,149,2.90827e-05,-6.10747,30
1,209,p1,147,2.72361e-05,-5.91425,30
1,210,p1,162,2.86572e-05,-5.95482,30
1,211,p1,119,2.96579e-05,-6.29569,30
1,212,p1,123,3.05443e-05,-6.22247,30
1,213,p1,139,3.27537e-05,-5.93429,30
1,214,p1,149,3.63373e-05,-5.52635,30
1,215,p1,156,3.49523e-05,-5.49004,30
1,216,p1,118,3.67879e-05,-6.49051,30
1,217,p1,133,3.61193e-05,-6.22245,30
1,218,p1,191,3.84624e-05,-6.1634,30
1,219,p1,120,3.81733e-05,-6.46333,30
1,220,p1,141,4.34815e-05,-6.34008,30
1,221,p1,86,4.88724e-05,-6.30495,30
1,222,p1,133,4.32591e-05,-6.09731,30
1,223,p1,122,4.56662e-05,-6.33784,30
1,224,p1,119,4.83652e-05,-6.45585,30
1,225,p1,157,4.88995e-05,-5.99186,30
1,226,p1,153,4.97386e-05,-5.8385,30
1,227,p1,125,4.58813e-05,-6.09534,30
1,228,p1,110,4.41004e-05,-6.47947,30
1,229,p1,141,4.48131e-05,-6.23241,30
1,230,p1,142,4.42082e-05,-6.36558,30
1,231,p1,106,4.54014e-05,-5.96192,30
1,232,p1,131,4.39272e-05,-5.98745,30
1,233,p1,145,5.27945e-05,-5.47369,30
1,234,p1,108,5.27375e-05,-5.26317,30
1,235,p1,128,5.05777e-05,-5.34846,30
1,236,p1,110,5.56764e-05,-5.03169,30
1,237,p1,197,5.36691e-05,-5.17553,30
1,238,p1,142,4.96147e-05,-5.38463,30
1,239,p1,142,4.8937e-05,-5.45514,30
1,240,p1,133,4.64843e-05,-5.57407,30
1,241,p1,132,4.50689e-05,-5.82936,30
1,242,p1,160,4.56504e-05,-5.72849,30
1,243,p1,86,5.06064e-05,-5.6927,30
1,244,p1,163,4.65145e-05,-5.89879,30
1,245,p1,142,5.05951e-05,-5.84383,30
1,246,p1,83,5.07301e-05,-5.84488,30
1,247,p1,143,5.19331e-05,-5.34154,30
1,248,p1,139,5.33438e-05,-5.47524,30
1,249,p1,155,5.30901e-05,-5.74504,30
1,250,p1,134,5.19144e-05,-5.62528,30
1,251,p1,161,5.33527e-05,-5.10396,30
1,252,p1,133,5.50596e-05,-4.63879,30
1,253,p1,140,5.82793e-05,-4.93951,30
1,254,p1,109,5.68479e-05,-4.39117,30
1,255,p1,109,5.71227e-05,-4.15945,30
1,256,p1,152,5.72397e-05,-4.39622,30
1,257,p1,133,5.59113e-05,-4.59242,30
1,258,p1,138,5.86833e-05,-4.05566,30
1,259,p1,140,5.76467e-05,-4.30996,30
1,260,p1,119,5.92236e-05,-4.17574,30
1,261,p1,106,5.65308e-05,-4.81947,30
1,262,p1,154,5.78255e-05,-4.52432,30
1,263,p1,80,5.68375e-05,-4.36872,30
1,264,p1,116,5.99112e-05,-4.5079,30
1,265,p1,169,5.89936e-05,-5.22952,30
1,266,p1,141,6.24979e-05,-5.28408,30
1,267,p1,145,6.34259e-05,-5.59404,30
1,268,p1,166,6.28729e-05,-5.6966,30
1,269,p1,115,6.5727e-05,-5.38918,30
1,270,p1,135,6.69898e-05,-5.84473,30
1,271,p1,156,6.75994e-05,-6.05851,30
1,272,p1,136,6.55615e-05,-6.34444,30
1,273,p1,105,6.4117e-05,-5.71518,30
1,274,p1,156,6.38007e-05,-5.76819,30
1,275,p1,109,6.26517e-05,-5.72071,30
1,276,p1,151,6.07688e-05,-5.95928,30
1,277,p1,142,6.2502e-05,-5.78137,30
1,278,p1,156,6.71815e-05,-5.67691,30
1,279,p1,118,6.29823e-05,-5.71824,30
1,280,p1,144,6.13698e-05,-6.18944,30
1,281,p1,153,6.44519e-05,-5.77167,30
1,282,p1,92,6.62264e-05,-4.70519,30
1,283,p1,112,6.6749e-05,-5.56022,30
1,284,p1,109,6.50745e-05,-5.13381,30
1,285,p1,185,6.68443e-05,-4.98085,30
1,286,p1,121,6.87474e-05,-5.46842,30
1,287,p1,157,6.73926e-05,-5.43547,30
1,288,p1,163,6.69867e-05,-5.69436,30
1,289,p1,109,6.75347e-05,-5.58049,30
1,290,p1,143,6.91701e-05,-5.90944,30
1,291,p1,151,6.9106e-05,-5.74543,30
1,292,p1,128,6.95023e-05,-5.86737,30
1,293,p1,144,7.01461e-05,-6.21885,30
1,294,p1,139,6.73829e-05,-5.80339,30
1,295,p1,120,7.01618e-05,-6.16729,30
1,296,p1,172,6.72935e-05,-6.28987,30
1,297,p1,113,7.11164e-05,-5.8453,30
1,298,p1,149,7.26866e-05,-5.95208,30
1,299,p1,140,7.49972e-05,-6.12925,30
1,300,p1,118,7.19362e-05,-5.80984,30
1,301,p1,162,7.30763e-05,-6.21785,30
1,302,p1,130,7.68186e-05,-5.60463,30
1,303,p1,114,7.46772e-05,-5.83281,30
1,304,p1,126,8.049e-05,-6.20702,30
1,305,p1,157,7.68183e-05,-5.78845,30
1,306,p1,83,7.70467e-05,-5.93242,30
1,307,p1,156,8.28651e-05,-6.03492,30
1,308,p1,119,7.39552e-05,-5.61934,30
1,309,p1,95,6.75657e-05,-4.59887,30
1,310,p1,123,6.8105e-05,-4.7845,30
1,311,p1,137,7.4233e-05,-5.27318,30
1,312,p1,182,7.50725e-05,-5.08458,30
1,313,p1,97,6.19359e-05,-4.73987,30
1,314,p1,121,7.17752e-05,-5.59249,30
1,315,p1,211,7.38614e-05,-5.76097,30
1,316,p1,156,7.42945e-05,-5.86481,30
1,317,p1,132,7.35574e-05,-5.73106,30
1,318,p1,122,7.34258e-05,-5.52683,30
1,319,p1,137,7.25798e-05,-5.61741,30
1,320,p1,178,7.34237e-05,-5.91888,30
1,321,p1,147,5.29541e-05,-4.61287,30
1,322,p1,191,5.48579e-05,-4.9082,30
1,323,p1,107,5.17857e-05,-4.78084,30
1,324,p1,99,6.05668e-05,-5.01644,30
1,325,p1,156,5.97138e-05,-5.16758,30
1,326,p1,196,5.91071e-05,-5.38409,30
1,327,p1,113,5.49268e-05,-5.04133,30
1,328,p1,105,5.87098e-05,-4.95694,30
1,329,p1,159,6.20867e-05,-5.10627,30
1,330,p1,156,5.74308e-05,-5.07729,30
1,331,p1,141,5.5717e-05,-4.85161,30
1,332,p1,125,4.68394e-05,-4.25482,30
1,333,p1,158,4.87462e-05,-4.61278,30
1,334,p1,138,5.94437e-05,-4.53925,30
1,335,p1,163,5.15213e-05,-4.33673,30
1,336,p1,108,5.36373e-05,-3.9662,30
1,337,p1,163,4.82544e-05,-4.04759,30
1,338,p1,102,4.56502e-05,-4.31595,30
1,339,p1,128,5.3129e-05,-4.29025,30
1,340,p1,138,5.7678e-05,-4.54874,30
1,341,p1,126,6.08456e-05,-3.98094,30
1,342,p1,166,5.94821e-05,-4.29844,30
1,343,p1,116,5.07885e-05,-4.51698,30
1,344,p1,106,5.27639e-05,-4.33576,30
1,345,p1,177,5.4619e-05,-4.46768,30
1,346,p1,157,5.28064e-05,-4.46651,30
1,347,p1,144,5.11232e-05,-4.78904,30
1,348,p1,102,4.85919e-05,-4.55811,30
1,349,p1,171,4.61995e-05,-4.91765,30
1,350,p1,135,5.6304e-05,-5.59403,30
1,351,p1,98,6.15166e-05,-6.06971,30
1,352,p1,169,6.2884e-05,-5.69774,30
1,353,p1,167,5.85697e-05,-5.40159,30
1,354,p1,120,5.95094e-05,-5.19197,30
1,355,p1,140,5.99658e-05,-5.18765,30
1,356,p1,161,6.50141e-05,-5.59916,30
1,357,p1,118,5.53551e-05,-4.86743,30
1,358,p1,123,5.10592e-05,-5.23347,30
1,359,p1,155,4.7327e-05,-5.0399,30
1,360,p1,122,4.89233e-05,-5.37826,30
1,361,p1,118,5.43095e-05,-5.36703,30
1,362,p1,124,5.97873e-05,-5.68933,30
1,363,p1,110,5.37595e-05,-5.22837,30
1,364,p1,123,5.34292e-05,-5.27645,30
1,365,p1,161,4.67169e-05,-5.34066,30
1,366,p1,125,4.35725e-05,-4.30433,30
1,367,p1,139,5.49457e-05,-5.91389,30
1,368,p1,136,5.51779e-05,-6.29326,30
1,369,p1,114,4.7859e-05,-5.82465,30
1,370,p1,120,4.83806e-05,-5.60324,30
1,371,p1,160,5.1524e-05,-5.58,30
1,372,p1,100,5.5046e-05,-5.95005,30
1,373,p1,140,5.39186e-05,-5.79303,30
1,374,p1,165,4.45756e-05,-4.93615,30
1,375,p1,116,4.77452e-05,-4.82073,30
1,376,p1,104,4.87768e-05,-5.22536,30
1,377,p1,132,5.06474e-05,-4.96363,30
1,378,p1,172,4.86728e-05,-4.98909,30
1,379,p1,118,4.41608e-05,-4.61388,30
1,380,p1,91,4.70897e-05,-5.06619,30
1,381,p1,135,5.19075e-05,-5.58028,30
1,382,p1,98,5.0177e-05,-5.42923,30
1,383,p1,173,5.09999e-05,-5.61604,30
1,384,p1,132,4.63435e-05,-4.86377,30
1,385,p1,112,4.57781e-05,-5.18585,30
1,386,p1,143,4.85009e-05,-5.17369,30
1,387,p1,137,4.75939e-05,-5.02535,30
1,388,p1,115,4.81335e-05,-5.0579,30
1,389,p1,112,4.63289e-05,-4.75074,30
1,390,p1,115,4.43168e-05,-4.48641,30
1,391,p1,147,4.61472e-05,-4.3423,30
1,392,p1,95,4.21518e-05,-3.98114,30
1,393,p1,166,3.87397e-05,-3.91673,30
1,394,p1,132,3.57914e-05,-3.47599,30
1,395,p1,121,3.66413e-05,-4.39749,30
1,396,p1,155,3.37136e-05,-3.23109,30
1,397,p1,99,3.74202e-05,-3.77394,30
1,398,p1,137,3.64332e-05,-3.65874,30
1,399,p1,153,3.80399e-05,-3.80924,30
1,400,p1,129,3.04579e-05,-3.10208,30
1,401,p1,111,4.04383e-05,-3.84098,30
1,402,p1,152,4.0311e-05,-3.64126,30
1,403,p1,99,4.39629e-05,-4.10354,30
