replicate,gen,pop-id,pop-size,hetero,mean-phenotype,optimal-phenotype
0,5011,p3,30,3.45111e-05,5.61076,-50
0,5011,p3,30,3.45111e-05,5.61076,-50
0,5012,p3,60,3.06056e-05,6.20722,-50
0,5012,p3,60,3.06056e-05,6.20722,-50
0,5013,p3,90,2.86204e-05,6.40835,-50
0,5013,p3,75,2.8464e-05,6.39178,-50
0,5014,p3,141,3.09185e-05,6.11572,-50
0,5014,p3,123,3.16339e-05,6.02923,-50
0,5015,p3,195,3.23431e-05,5.96939,-50
0,5015,p3,136,3.24443e-05,5.93571,-50
0,5016,p3,236,3.14867e-05,6.0914,-50
0,5016,p3,161,3.0446e-05,6.19788,-50
0,5017,p3,254,3.02206e-05,6.25236,-50
0,5017,p3,139,2.86015e-05,6.36633,-50
0,5018,p3,206,2.94516e-05,6.26693,-50
0,5018,p3,118,3.01207e-05,6.14743,-50
0,5019,p3,190,3.02681e-05,6.24079,-50
0,5019,p3,127,2.98261e-05,6.33792,-50
0,5020,p3,217,2.94434e-05,6.4016,-50
0,5020,p3,142,2.91859e-05,6.43705,-50
0,5021,p3,237,2.84563e-05,6.52869,-50
0,5021,p3,143,2.86139e-05,6.54882,-50
0,5022,p3,164,2.93653e-05,6.4882,-50
0,5022,p3,67,3.21408e-05,6.27052,-50
0,5023,p3,97,3.1108e-05,6.27095,-50
0,5023,p3,82,3.0296e-05,6.296,-50
0,5024,p3,121,2.99156e-05,6.40917,-50
0,5024,p3,99,3.01296e-05,6.45849,-50
0,5025,p3,170,3.13298e-05,6.42273,-50
0,5025,p3,135,3.14258e-05,6.43903,-50
0,5026,p3,221,3.33375e-05,6.34244,-50
0,5026,p3,135,3.49136e-05,6.23595,-50
0,5027,p3,191,3.56099e-05,6.16209,-50
0,5027,p3,105,3.67719e-05,6.07629,-50
0,5028,p3,140,3.6002e-05,6.0777,-50
0,5028,p3,90,3.66222e-05,6.07189,-50
0,5029,p3,155,3.62302e-05,6.26773,-50
0,5029,p3,125,3.68118e-05,6.28437,-50
0,5030,p3,201,3.47015e-05,6.41157,-50
0,5030,p3,134,3.35924e-05,6.31167,-50
0,5031,p3,193,3.44768e-05,6.21246,-50
0,5031,p3,119,3.64515e-05,6.01928,-50
0,5032,p3,183,3.76798e-05,5.97705,-50
0,5032,p3,114,3.84472e-05,5.97946,-50
0,5033,p3,165,3.87783e-05,6.07945,-50
0,5033,p3,108,3.86913e-05,6.00998,-50
0,5034,p3,161,4.06443e-05,5.90787,-50
0,5034,p3,120,4.21396e-05,5.73542,-50
0,5035,p3,190,4.36108e-05,5.63298,-50
0,5035,p3,122,4.43624e-05,5.54554,-50
0,5036,p3,175,4.48965e-05,5.39936,-50
0,5036,p3,102,4.31373e-05,5.38403,-50
0,5037,p3,133,4.14684e-05,5.48588,-50
0,5037,p3,81,3.82708e-05,5.78715,-50
0,5038,p3,115,3.76915e-05,5.7237,-50
0,5038,p3,86,3.88771e-05,5.61191,-50
0,5039,p3,143,3.92782e-05,5.75801,-50
0,5039,p3,109,3.93877e-05,5.79415,-50
0,5040,p3,173,3.94482e-05,5.83113,-50
0,5040,p3,121,3.88966e-05,5.81378,-50
0,5041,p3,178,3.97873e-05,5.87289,-50
0,5041,p3,101,3.83261e-05,5.98906,-50
0,5042,p3,158,3.7931e-05,6.01147,-50
0,5042,p3,110,3.72405e-05,5.98886,-50
0,5043,p3,179,3.75098e-05,5.9409,-50
0,5043,p3,131,3.6573e-05,5.92092,-50
0,5044,p3,201,3.53708e-05,6.02205,-50
0,5044,p3,122,3.53752e-05,6.06781,-50
0,5045,p3,196,3.47862e-05,6.04743,-50
0,5045,p3,127,3.49529e-05,5.96665,-50
0,5046,p3,186,3.56784e-05,5.93472,-50
0,5046,p3,103,3.60567e-05,5.96823,-50
0,5047,p3,153,3.417e-05,6.01969,-50
0,5047,p3,107,3.29356e-05,6.10938,-50
0,5048,p3,156,3.41441e-05,6.07366,-50
0,5048,p3,115,3.43198e-05,6.04176,-50
0,5049,p3,190,3.78017e-05,5.84118,-50
0,5049,p3,140,3.84671e-05,5.71528,-50
0,5050,p3,231,3.53608e-05,5.85682,-50
0,5050,p3,135,3.30878e-05,5.88982,-50
0,5051,p3,187,3.37918e-05,5.79795,-50
0,5051,p3,97,3.38059e-05,5.8897,-50
0,5052,p3,137,3.38705e-05,5.68675,-50
0,5052,p3,99,3.27982e-05,5.6437,-50
0,5053,p3,151,3.46013e-05,5.62291,-50
0,5053,p3,117,3.38001e-05,5.76131,-50
0,5054,p3,187,3.58916e-05,5.88469,-50
0,5054,p3,135,3.53986e-05,5.98586,-50
0,5055,p3,206,3.49225e-05,6.05579,-50
0,5055,p3,131,3.32597e-05,6.21807,-50
0,5056,p3,188,3.38612e-05,6.25709,-50
0,5056,p3,115,3.33966e-05,6.26782,-50
0,5057,p3,169,3.19705e-05,6.39082,-50
0,5057,p3,109,3.27881e-05,6.31232,-50
0,5058,p3,162,3.61119e-05,5.99006,-50
0,5058,p3,108,3.81331e-05,5.79313,-50
0,5059,p3,175,3.89193e-05,5.92256,-50
0,5059,p3,126,3.8966e-05,6.09598,-50
0,5060,p3,183,3.98656e-05,6.21665,-50
0,5060,p3,116,4.01828e-05,6.3152,-50
0,5061,p3,178,4.10239e-05,6.33891,-50
0,5061,p3,121,4.18014e-05,6.06505,-50
0,5062,p3,183,4.00214e-05,6.24466,-50
0,5062,p3,120,3.9259e-05,6.19283,-50
0,5063,p3,176,3.776e-05,6.24257,-50
0,5063,p3,117,3.82508e-05,6.1622,-50
0,5064,p3,185,4.13822e-05,5.91982,-50
0,5064,p3,125,4.41798e-05,5.84583,-50
0,5065,p3,181,4.50092e-05,5.63898,-50
0,5065,p3,111,4.48434e-05,5.70173,-50
0,5066,p3,157,4.34109e-05,5.91266,-50
0,5066,p3,103,4.18253e-05,6.20473,-50
0,5067,p3,158,4.11194e-05,6.33949,-50
0,5067,p3,124,4.07359e-05,6.30679,-50
0,5068,p3,179,3.98972e-05,6.34407,-50
