replicate,gen,pop-id,pop-size,hetero,mean-phenotype,optimal-phenotype
0,5011,p3,60,3.53861e-05,9.93874,-10
0,5011,p3,40,3.23813e-05,9.96913,-10
0,5012,p3,122,3.44961e-05,9.93516,-10
0,5012,p3,106,3.36517e-05,9.9298,-10
0,5013,p3,250,3.52934e-05,9.92318,-10
0,5013,p3,202,3.52176e-05,9.92523,-10
0,5014,p3,379,3.58697e-05,9.92484,-10
0,5014,p3,226,3.60364e-05,9.93195,-10
0,5015,p3,421,3.66535e-05,9.91353,-10
0,5015,p3,239,3.60754e-05,9.89162,-10
0,5016,p3,409,3.69398e-05,9.90079,-10
0,5016,p3,211,3.7578e-05,9.91422,-10
0,5017,p3,357,3.74138e-05,9.96133,-10
0,5017,p3,185,3.73027e-05,9.98759,-10
0,5018,p3,320,3.73961e-05,9.98258,-10
0,5018,p3,189,3.84359e-05,9.97441,-10
0,5019,p3,348,3.98214e-05,9.96258,-10
0,5019,p3,224,4.09999e-05,9.94147,-10
0,5020,p3,392,3.9555e-05,9.96957,-10
0,5020,p3,217,3.97616e-05,10.0026,-10
0,5021,p3,401,3.86765e-05,9.98273,-10
0,5021,p3,227,3.86886e-05,9.94851,-10
0,5022,p3,329,3.83568e-05,9.92425,-10
0,5022,p3,153,3.82235e-05,9.86512,-10
0,5023,p3,201,3.85012e-05,9.7842,-10
0,5023,p3,103,3.66684e-05,9.66176,-10
0,5024,p3,138,3.54461e-05,9.74444,-10
0,5024,p3,100,3.41975e-05,9.8562,-10
0,5025,p3,172,3.50592e-05,9.85124,-10
0,5025,p3,140,3.62541e-05,9.84569,-10
0,5026,p3,223,3.60782e-05,9.87514,-10
0,5026,p3,145,3.57893e-05,9.87292,-10
0,5027,p3,195,3.59123e-05,9.91361,-10
0,5027,p3,99,3.55464e-05,9.92572,-10
0,5028,p3,135,3.60678e-05,9.87298,-10
0,5028,p3,96,3.72613e-05,9.83821,-10
0,5029,p3,143,3.76703e-05,9.8101,-10
0,5029,p3,111,3.78537e-05,9.85904,-10
0,5030,p3,183,3.62267e-05,9.87276,-10
0,5030,p3,134,3.65925e-05,9.91535,-10
0,5031,p3,216,3.80262e-05,9.90324,-10
0,5031,p3,138,3.86794e-05,9.88001,-10
0,5032,p3,191,3.89362e-05,9.87128,-10
0,5032,p3,107,3.81618e-05,9.86777,-10
0,5033,p3,144,3.7412e-05,9.88927,-10
0,5033,p3,98,3.70502e-05,9.93518,-10
0,5034,p3,146,3.67632e-05,9.93316,-10
0,5034,p3,110,3.77264e-05,9.91155,-10
0,5035,p3,161,3.71731e-05,9.89855,-10
0,5035,p3,123,3.81198e-05,9.89892,-10
0,5036,p3,172,3.80283e-05,9.8612,-10
0,5036,p3,110,3.71302e-05,9.86292,-10
0,5037,p3,147,3.63261e-05,9.83472,-10
0,5037,p3,93,3.65973e-05,9.80576,-10
0,5038,p3,165,3.46514e-05,9.84546,-10
0,5038,p3,133,3.46498e-05,9.84866,-10
0,5039,p3,207,3.57007e-05,9.92099,-10
0,5039,p3,136,3.54963e-05,9.95831,-10
0,5040,p3,203,3.61716e-05,9.93374,-10
0,5040,p3,122,3.49211e-05,9.87421,-10
0,5041,p3,193,3.59545e-05,9.84869,-10
0,5041,p3,124,3.55554e-05,9.78404,-10
0,5042,p3,158,3.68593e-05,9.82602,-10
0,5042,p3,90,3.79531e-05,9.92279,-10
0,5043,p3,114,3.6612e-05,9.90342,-10
0,5043,p3,84,3.52395e-05,9.87523,-10
0,5044,p3,128,3.65518e-05,9.90139,-10
0,5044,p3,106,3.71978e-05,9.92408,-10
0,5045,p3,179,3.69269e-05,9.88423,-10
0,5045,p3,133,3.69453e-05,9.87465,-10
0,5046,p3,207,3.91053e-05,9.85182,-10
0,5046,p3,126,4.06006e-05,9.89323,-10
0,5047,p3,181,3.98382e-05,9.88691,-10
0,5047,p3,104,3.95248e-05,9.85829,-10
0,5048,p3,137,3.9549e-05,9.92617,-10
0,5048,p3,91,3.94342e-05,9.92295,-10
0,5049,p3,131,3.92946e-05,9.89753,-10
0,5049,p3,106,3.92698e-05,9.83601,-10
0,5050,p3,186,3.90291e-05,9.82419,-10
0,5050,p3,151,3.94619e-05,9.82495,-10
0,5051,p3,244,3.93002e-05,9.80562,-10
0,5051,p3,147,3.84085e-05,9.74935,-10
0,5052,p3,201,3.94548e-05,9.7249,-10
0,5052,p3,96,4.21479e-05,9.59026,-10
0,5053,p3,122,4.07011e-05,9.70294,-10
0,5053,p3,75,4.02542e-05,9.7134,-10
0,5054,p3,122,4.1211e-05,9.83792,-10
0,5054,p3,104,4.2095e-05,9.7773,-10
0,5055,p3,171,4.15271e-05,9.68191,-10
0,5055,p3,126,4.13505e-05,9.54609,-10
0,5056,p3,171,4.22757e-05,9.49665,-10
0,5056,p3,96,4.28966e-05,9.39926,-10
0,5057,p3,134,4.26559e-05,9.57118,-10
0,5057,p3,95,4.17064e-05,9.73482,-10
0,5058,p3,160,4.13941e-05,9.71295,-10
0,5058,p3,123,4.11134e-05,9.61193,-10
0,5059,p3,171,4.06421e-05,9.68658,-10
0,5059,p3,100,4.0176e-05,9.83483,-10
0,5060,p3,178,4.10471e-05,9.83309,-10
0,5060,p3,134,4.15956e-05,9.84677,-10
0,5061,p3,187,4.17165e-05,9.77303,-10
0,5061,p3,102,4.17945e-05,9.80111,-10
0,5062,p3,160,4.25646e-05,9.78778,-10
0,5062,p3,119,4.19995e-05,9.95061,-10
0,5063,p3,201,4.14158e-05,9.89642,-10
0,5063,p3,134,4.02347e-05,9.92089,-10
0,5064,p3,197,4.12335e-05,10.0191,-10
0,5064,p3,114,4.08414e-05,10.0863,-10
0,5065,p3,150,3.99238e-05,10.0994,-10
0,5065,p3,89,3.78292e-05,10.0359,-10
0,5066,p3,122,3.84984e-05,10.0629,-10
0,5066,p3,94,3.86679e-05,9.95893,-10
0,5067,p3,141,3.73875e-05,9.92663,-10
0,5067,p3,106,3.65891e-05,9.90854,-10
0,5068,p3,190,3.54882e-05,9.7689,-10
0,5068,p3,144,3.50328e-05,9.71182,-10
0,5069,p3,232,3.43106e-05,9.7205,-10
0,5069,p3,153,3.48031e-05,9.7493,-10
0,5070,p3,247,3.50136e-05,9.73648,-10
0,5070,p3,147,3.50981e-05,9.76263,-10
0,5071,p3,219,3.54583e-05,9.86319,-10
0,5071,p3,120,3.5358e-05,9.94941,-10
0,5072,p3,154,3.6239e-05,9.97109,-10
0,5072,p3,89,3.73577e-05,9.89979,-10
0,5073,p3,125,3.68336e-05,9.9501,-10
0,5073,p3,97,3.61749e-05,9.93913,-10
0,5074,p3,150,3.42053e-05,9.86331,-10
0,5074,p3,122,3.40513e-05,9.77024,-10
0,5075,p3,174,3.52555e-05,9.90147,-10
0,5075,p3,111,3.76881e-05,9.9806,-10
0,5076,p3,167,3.60997e-05,9.80163,-10
0,5076,p3,113,3.48042e-05,9.56141,-10
0,5077,p3,162,3.55035e-05,9.52127,-10
0,5077,p3,107,3.5973e-05,9.39058,-10
0,5078,p3,171,3.66369e-05,9.37509,-10
0,5078,p3,122,3.66981e-05,9.35319,-10
0,5079,p3,197,3.51514e-05,9.3019,-10
0,5079,p3,133,3.43131e-05,9.29262,-10
0,5080,p3,214,3.52929e-05,9.34429,-10
0,5080,p3,136,3.53687e-05,9.32343,-10
0,5081,p3,204,3.4616e-05,9.4271,-10
0,5081,p3,125,3.34694e-05,9.4363,-10
0,5082,p3,180,3.4017e-05,9.37788,-10
0,5082,p3,110,3.52025e-05,9.25994,-10
0,5083,p3,175,3.6041e-05,9.27126,-10
0,5083,p3,130,3.58678e-05,9.31042,-10
0,5084,p3,221,3.49712e-05,9.24189,-10
0,5084,p3,148,3.41579e-05,9.26373,-10
0,5085,p3,229,3.55993e-05,9.28865,-10
0,5085,p3,136,3.56934e-05,9.25878,-10
0,5086,p3,200,3.33062e-05,9.23558,-10
0,5086,p3,115,3.13093e-05,9.24596,-10
0,5087,p3,152,3.04478e-05,9.20093,-10
0,5087,p3,92,3.3177e-05,9.26268,-10
0,5088,p3,136,3.29836e-05,9.27395,-10
0,5088,p3,106,3.31884e-05,9.36197,-10
0,5089,p3,171,3.51602e-05,9.51009,-10
0,5089,p3,133,3.62115e-05,9.58413,-10
0,5090,p3,209,3.83716e-05,9.73304,-10
0,5090,p3,137,3.81579e-05,9.74337,-10
0,5091,p3,184,3.71151e-05,9.64522,-10
0,5091,p3,104,3.47753e-05,9.46269,-10
0,5092,p3,183,3.83886e-05,9.65909,-10
0,5092,p3,140,3.95941e-05,9.66801,-10
0,5093,p3,233,3.89653e-05,9.66086,-10
0,5093,p3,149,3.71215e-05,9.54943,-10
0,5094,p3,211,3.52884e-05,9.50827,-10
0,5094,p3,104,3.41956e-05,9.50413,-10
0,5095,p3,142,3.39412e-05,9.27719,-10
0,5095,p3,89,3.5558e-05,9.25252,-10
0,5096,p3,153,3.43938e-05,9.31306,-10
0,5096,p3,119,3.53488e-05,9.42998,-10
0,5097,p3,183,3.68932e-05,9.68385,-10
0,5097,p3,119,3.82349e-05,9.78758,-10
0,5098,p3,174,4.14954e-05,9.84786,-10
0,5098,p3,111,4.0952e-05,9.73986,-10
0,5099,p3,154,3.91069e-05,9.66919,-10
0,5099,p3,97,3.47524e-05,9.52733,-10
0,5100,p3,132,3.54853e-05,9.61839,-10
0,5100,p3,97,3.49134e-05,9.59257,-10
0,5101,p3,158,3.51378e-05,9.57747,-10
0,5101,p3,125,3.38467e-05,9.49132,-10
0,5102,p3,191,3.69738e-05,9.67861,-10
0,5102,p3,123,3.84778e-05,9.84864,-10
0,5103,p3,186,3.58008e-05,9.75604,-10
0,5103,p3,119,3.22474e-05,9.59423,-10
0,5104,p3,167,3.17489e-05,9.52222,-10
0,5104,p3,104,3.27667e-05,9.5287,-10
0,5105,p3,165,3.39164e-05,9.62406,-10
0,5105,p3,130,3.45249e-05,9.64283,-10
0,5106,p3,204,3.42899e-05,9.67158,-10
0,5106,p3,137,3.31898e-05,9.65954,-10
0,5107,p3,214,3.32935e-05,9.6811,-10
0,5107,p3,131,3.20946e-05,9.61097,-10
0,5108,p3,190,3.41276e-05,9.6928,-10
0,5108,p3,109,3.44268e-05,9.67693,-10
0,5109,p3,161,3.66896e-05,9.6457,-10
0,5109,p3,109,3.6441e-05,9.6122,-10
0,5110,p3,177,3.87714e-05,9.84269,-10
0,5110,p3,116,3.7604e-05,9.84092,-10
0,5111,p3,158,3.55063e-05,9.83707,-10
0,5111,p3,99,3.19901e-05,9.78553,-10
0,5112,p3,150,3.00942e-05,9.58559,-10
0,5112,p3,112,3.12755e-05,9.53867,-10
0,5113,p3,165,3.25052e-05,9.39866,-10
0,5113,p3,112,3.41769e-05,9.33232,-10
0,5114,p3,168,3.62966e-05,9.29468,-10
0,5114,p3,111,3.80915e-05,9.34632,-10
0,5115,p3,162,3.56674e-05,9.28335,-10
0,5115,p3,102,3.21722e-05,9.24313,-10
0,5116,p3,146,3.32006e-05,9.16598,-10
0,5116,p3,97,3.39053e-05,9.17457,-10
0,5117,p3,152,3.37452e-05,9.2457,-10
0,5117,p3,117,3.39915e-05,9.26565,-10
0,5118,p3,174,3.50647e-05,9.29478,-10
0,5118,p3,111,3.43341e-05,9.25453,-10
0,5119,p3,173,3.52479e-05,9.23194,-10
0,5119,p3,120,3.39524e-05,9.14543,-10
0,5120,p3,212,3.47634e-05,9.39055,-10
0,5120,p3,147,3.40349e-05,9.44577,-10
0,5121,p3,224,3.24261e-05,9.33624,-10
0,5121,p3,131,3.19037e-05,9.19769,-10
0,5122,p3,197,3.11393e-05,9.12838,-10
0,5122,p3,125,3.21558e-05,9.0586,-10
0,5123,p3,191,3.26821e-05,9.05627,-10
0,5123,p3,139,3.14849e-05,8.93682,-10
0,5124,p3,219,3.38325e-05,8.95627,-10
0,5124,p3,143,3.50095e-05,9.04433,-10
0,5125,p3,209,3.54377e-05,9.1101,-10
0,5125,p3,121,3.44177e-05,9.15199,-10
0,5126,p3,177,3.30451e-05,9.02646,-10
0,5126,p3,120,3.19326e-05,8.84722,-10
0,5127,p3,177,3.06448e-05,8.87268,-10
0,5127,p3,114,3.07887e-05,8.85468,-10
0,5128,p3,158,3.21605e-05,8.84184,-10
0,5128,p3,103,3.33377e-05,8.76984,-10
0,5129,p3,165,3.38696e-05,8.65203,-10
0,5129,p3,128,3.39166e-05,8.58936,-10
0,5130,p3,212,3.45936e-05,8.73852,-10
0,5130,p3,142,3.4086e-05,8.76281,-10
0,5131,p3,206,3.2548e-05,8.63633,-10
0,5131,p3,118,2.96405e-05,8.43994,-10
0,5132,p3,187,2.85666e-05,8.4724,-10
0,5132,p3,119,2.73893e-05,8.46382,-10
0,5133,p3,164,2.75225e-05,8.59997,-10
0,5133,p3,97,2.74227e-05,8.56273,-10
0,5134,p3,149,2.71958e-05,8.58215,-10
0,5134,p3,111,2.7109e-05,8.43816,-10
0,5135,p3,180,2.84897e-05,8.16558,-10
0,5135,p3,130,2.9197e-05,8.03991,-10
0,5136,p3,203,2.97065e-05,8.0842,-10
0,5136,p3,122,2.96842e-05,7.98033,-10
0,5137,p3,171,2.98627e-05,8.06665,-10
0,5137,p3,107,2.91528e-05,8.14129,-10
0,5138,p3,155,2.79838e-05,8.14954,-10
0,5138,p3,115,2.79887e-05,8.06652,-10
0,5139,p3,173,2.86488e-05,7.95003,-10
0,5139,p3,117,2.99321e-05,7.85148,-10
0,5140,p3,183,3.06607e-05,7.68166,-10
0,5140,p3,123,3.21756e-05,7.53515,-10
0,5141,p3,193,3.34052e-05,7.40617,-10
0,5141,p3,115,3.42836e-05,7.36116,-10
0,5142,p3,158,3.43755e-05,7.39345,-10
0,5142,p3,92,3.2982e-05,7.57724,-10
0,5143,p3,126,3.54315e-05,7.5105,-10
0,5143,p3,91,3.60295e-05,7.42497,-10
0,5144,p3,126,3.52343e-05,7.53816,-10
0,5144,p3,97,3.42773e-05,7.53529,-10
0,5145,p3,135,3.43671e-05,7.65922,-10
0,5145,p3,102,3.49471e-05,7.66125,-10
0,5146,p3,176,3.34517e-05,7.71912,-10
0,5146,p3,135,3.36776e-05,7.69097,-10
0,5147,p3,205,3.44142e-05,7.57179,-10
0,5147,p3,125,3.60438e-05,7.31231,-10
0,5148,p3,172,3.80895e-05,7.10401,-10
0,5148,p3,103,4.04779e-05,6.93953,-10
0,5149,p3,164,3.97414e-05,6.74958,-10
0,5149,p3,130,3.86006e-05,6.63045,-10
0,5150,p3,207,3.79739e-05,6.73205,-10
0,5150,p3,140,3.78219e-05,6.76566,-10
0,5151,p3,210,3.82226e-05,6.60371,-10
0,5151,p3,125,3.94144e-05,6.33409,-10
0,5152,p3,209,3.89228e-05,6.47576,-10
0,5152,p3,143,3.91347e-05,6.25741,-10
0,5153,p3,199,3.93013e-05,6.34008,-10
0,5153,p3,119,4.02242e-05,6.00901,-10
0,5154,p3,170,3.89163e-05,5.94363,-10
0,5154,p3,116,3.8559e-05,5.63997,-10
0,5155,p3,159,3.96039e-05,5.54135,-10
0,5155,p3,117,4.02918e-05,5.51732,-10
0,5156,p3,181,4.00389e-05,5.63457,-10
0,5156,p3,142,4.03231e-05,5.57361,-10
0,5157,p3,230,4.19894e-05,5.56989,-10
0,5157,p3,150,4.20236e-05,5.54257,-10
0,5158,p3,231,3.96111e-05,5.7298,-10
0,5158,p3,136,3.71118e-05,5.67852,-10
0,5159,p3,190,3.63825e-05,5.55556,-10
0,5159,p3,115,3.71221e-05,5.19756,-10
0,5160,p3,151,3.72267e-05,5.29531,-10
0,5160,p3,98,3.86219e-05,5.48443,-10
0,5161,p3,175,3.94331e-05,5.04517,-10
0,5161,p3,147,3.95268e-05,4.91686,-10
0,5162,p3,219,4.04494e-05,5.01366,-10
0,5162,p3,137,4.07379e-05,5.12789,-10
0,5163,p3,223,4.28668e-05,5.03076,-10
0,5163,p3,148,4.33247e-05,4.78937,-10
0,5164,p3,223,4.23968e-05,4.80793,-10
0,5164,p3,118,4.05401e-05,4.95646,-10
0,5165,p3,171,4.04725e-05,4.89358,-10
0,5165,p3,101,4.00701e-05,4.6771,-10
0,5166,p3,139,3.9115e-05,4.64533,-10
0,5166,p3,106,3.76268e-05,4.47954,-10
0,5167,p3,163,3.56062e-05,4.26723,-10
0,5167,p3,137,3.72969e-05,4.22861,-10
0,5168,p3,213,3.69078e-05,3.95656,-10
0,5168,p3,148,3.7616e-05,3.61081,-10
0,5169,p3,212,3.96808e-05,3.51802,-10
0,5169,p3,134,4.11461e-05,3.317,-10
0,5170,p3,207,4.17527e-05,3.23572,-10
0,5170,p3,152,4.1097e-05,2.99927,-10
0,5171,p3,220,4.12558e-05,3.00973,-10
0,5171,p3,142,4.10112e-05,2.8143,-10
0,5172,p3,202,4.06416e-05,2.77816,-10
0,5172,p3,133,4.00718e-05,2.48178,-10
0,5173,p3,186,3.97227e-05,2.42139,-10
0,5173,p3,138,3.99457e-05,2.23229,-10
0,5174,p3,201,4.1193e-05,2.16479,-10
