gen,pop-id, pop-size, hetero., mean-phenotype, optimal-phenotype
1,p1,500,0,0,10
2,p1,242,4.12369e-07,0.0138956,10
3,p1,125,7.968e-07,0.00985118,10
4,p1,70,1.13469e-06,0.00573163,10
5,p1,129,1.31272e-06,-0.00194022,10
6,p1,232,1.20244e-06,0.00623382,10
7,p1,144,1.37587e-06,-0.0946992,10
8,p1,170,1.17163e-06,-0.0403942,10
9,p1,135,1.969e-06,0.0672297,10
10,p1,152,1.62201e-06,-0.058017,10
11,p1,221,2.49114e-06,-0.006541,10
12,p1,78,2.52301e-06,-0.00929454,10
13,p1,105,2.71519e-06,0.00741008,10
14,p1,174,3.28049e-06,0.124041,10
15,p1,106,5.16732e-06,0.109031,10
16,p1,138,6.07908e-06,0.138334,10
17,p1,133,7.12675e-06,0.272001,10
18,p1,154,6.95627e-06,0.0999547,10
19,p1,165,6.86703e-06,0.0706758,10
20,p1,158,8.94408e-06,0.342051,10
21,p1,143,6.32036e-06,0.108795,10
22,p1,161,8.16269e-06,0.0839337,10
23,p1,187,9.45652e-06,-0.158496,10
24,p1,89,8.74069e-06,-0.024633,10
25,p1,121,1.05392e-05,-0.121885,10
26,p1,165,1.12391e-05,0.288128,10
27,p1,123,1.20963e-05,0.0481799,10
28,p1,116,1.11902e-05,0.0167851,10
29,p1,129,1.13809e-05,0.0651486,10
30,p1,125,9.8528e-06,0.12521,10
31,p1,159,1.19329e-05,0.342628,10
32,p1,149,1.27866e-05,-0.00395894,10
33,p1,72,8.32562e-06,-0.0747461,10
34,p1,107,1.29893e-05,0.0987336,10
35,p1,147,1.22384e-05,0.139826,10
36,p1,169,1.90105e-05,0.0806953,10
37,p1,121,1.59289e-05,-0.182712,10
38,p1,134,1.69595e-05,0.246429,10
39,p1,163,1.76569e-05,0.44741,10
40,p1,95,1.45247e-05,0.231568,10
41,p1,120,1.58861e-05,0.456334,10
42,p1,149,2.17549e-05,0.891092,10
43,p1,127,2.00992e-05,0.507846,10
44,p1,103,1.89825e-05,0.0873745,10
45,p1,164,2.01688e-05,0.0745527,10
46,p1,164,2.00364e-05,0.172982,10
47,p1,89,2.06849e-05,0.0744839,10
48,p1,142,2.15733e-05,-0.152803,10
49,p1,156,2.17632e-05,-0.354065,10
50,p1,132,1.93058e-05,-0.709528,10
51,p1,123,2.04587e-05,-0.209867,10
52,p1,120,2.17712e-05,-0.0526463,10
53,p1,121,2.21802e-05,-0.330469,10
54,p1,161,2.11714e-05,-0.403683,10
55,p1,166,2.1608e-05,-0.370442,10
56,p1,133,2.2118e-05,-0.647532,10
57,p1,135,2.23503e-05,-0.40115,10
58,p1,174,2.48127e-05,-0.14242,10
59,p1,85,2.30844e-05,0.0220766,10
60,p1,104,2.79225e-05,0.28834,10
61,p1,117,2.79473e-05,0.657167,10
62,p1,106,2.47837e-05,0.989808,10
63,p1,172,2.77403e-05,1.03045,10
64,p1,163,3.04406e-05,0.612175,10
65,p1,115,2.87694e-05,1.03272,10
66,p1,147,2.73752e-05,1.46087,10
67,p1,130,2.80663e-05,1.57609,10
68,p1,92,2.5039e-05,1.7162,10
69,p1,159,2.53287e-05,1.62628,10
70,p1,160,2.34717e-05,1.50372,10
71,p1,132,2.27083e-05,1.23536,10
72,p1,154,2.19017e-05,1.21391,10
73,p1,100,2.47935e-05,1.58859,10
74,p1,138,2.57189e-05,1.60942,10
75,p1,121,2.39891e-05,1.55728,10
76,p1,114,2.60873e-05,1.55294,10
77,p1,148,2.55081e-05,1.09991,10
78,p1,153,2.28064e-05,0.986079,10
79,p1,130,2.73615e-05,0.653448,10
80,p1,145,2.60723e-05,0.955733,10
81,p1,123,2.52839e-05,0.65889,10
82,p1,114,2.22188e-05,0.912459,10
83,p1,127,2.25064e-05,0.615898,10
84,p1,150,1.92776e-05,0.335841,10
85,p1,94,2.12251e-05,0.305976,10
86,p1,148,2.17647e-05,0.182691,10
87,p1,96,2.03212e-05,-0.100882,10
88,p1,106,1.79499e-05,0.0341227,10
89,p1,125,2.19779e-05,0.267137,10
90,p1,130,2.16204e-05,-0.360608,10
91,p1,140,2.01069e-05,0.0353335,10
92,p1,112,1.54133e-05,-0.329812,10
93,p1,155,1.42256e-05,-0.274745,10
94,p1,142,1.64469e-05,-0.505564,10
95,p1,144,1.62211e-05,-0.480977,10
96,p1,163,1.67067e-05,-0.689957,10
97,p1,101,1.65935e-05,-0.936683,10
98,p1,136,1.57161e-05,-0.873055,10
99,p1,175,1.84078e-05,-1.16582,10
100,p1,107,1.8513e-05,-0.653853,10
101,p1,107,1.49568e-05,-1.08581,10
102,p1,157,1.62116e-05,-0.616498,10
103,p1,144,1.59939e-05,-0.83072,10
104,p1,134,1.58326e-05,-0.820318,10
105,p1,110,1.48095e-05,-0.740459,10
106,p1,122,1.47971e-05,-0.996164,10
107,p1,150,1.67153e-05,-1.18089,10
108,p1,177,1.68076e-05,-1.29087,10
109,p1,124,1.59089e-05,-1.42485,10
110,p1,131,1.67962e-05,-1.7064,10
111,p1,116,1.77051e-05,-1.53264,10
112,p1,153,1.80796e-05,-1.44006,10
113,p1,119,1.60614e-05,-1.19238,10
114,p1,167,1.56897e-05,-1.39552,10
115,p1,103,1.90414e-05,-1.49881,10
116,p1,136,1.71426e-05,-1.42188,10
117,p1,148,1.81834e-05,-1.61238,10
118,p1,147,1.72266e-05,-1.31496,10
119,p1,102,1.70656e-05,-1.36908,10
120,p1,113,1.96797e-05,-1.23159,10
121,p1,132,1.82754e-05,-1.29865,10
122,p1,126,1.86162e-05,-1.26452,10
123,p1,128,1.83984e-05,-1.1327,10
124,p1,134,1.78177e-05,-1.12558,10
125,p1,125,1.6039e-05,-1.0768,10
126,p1,145,1.71679e-05,-0.86936,10
127,p1,146,1.46784e-05,-0.909271,10
128,p1,129,1.29989e-05,-0.619367,10
129,p1,89,1.43827e-05,-0.779851,10
130,p1,157,1.55749e-05,-0.84726,10
131,p1,158,1.49109e-05,-0.644152,10
132,p1,108,1.674e-05,-0.610791,10
133,p1,121,1.63998e-05,-0.820374,10
134,p1,160,1.63609e-05,-0.579397,10
135,p1,149,1.68697e-05,-0.520408,10
136,p1,114,1.84561e-05,-0.783698,10
137,p1,97,1.92656e-05,-0.526026,10
138,p1,168,1.92785e-05,-0.432153,10
139,p1,157,2.10767e-05,-0.711751,10
140,p1,155,2.27694e-05,-0.371265,10
141,p1,143,2.1571e-05,-0.618231,10
142,p1,110,2.09698e-05,-0.951482,10
143,p1,123,2.20249e-05,-0.745847,10
144,p1,194,2.22983e-05,-0.937598,10
145,p1,116,2.07183e-05,-0.912379,10
146,p1,134,1.75821e-05,-0.725602,10
147,p1,125,1.61642e-05,-0.974609,10
148,p1,158,1.67968e-05,-0.721573,10
149,p1,160,1.76271e-05,-0.713166,10
150,p1,159,1.89573e-05,-0.609072,10
151,p1,143,1.89437e-05,-1.26783,10
