replicate,gen,pop-id,pop-size,hetero,mean-phenotype,optimal-phenotype
0,5050,p3,115,0.0200642,42.0778,-50
0,5100,p3,102,0.019346,47.7241,-50
0,5150,p3,140,0.0222435,54.6302,-50
0,5200,p3,148,0.0140946,83.4954,-50
0,5250,p3,152,0.0114244,73.8556,-50
0,5300,p3,110,0.0201017,62.4966,-50
0,5350,p3,139,0.0215438,62.0817,-50
0,5400,p3,140,0.0164154,59.3755,-50
0,5450,p3,113,0.0145816,55.0204,-50
0,5500,p3,152,0.0198866,55.4197,-50
0,5550,p3,132,0.00865823,78.4709,-50
0,5600,p3,172,0.00176257,67.4567,-50
